name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
HD 160691 b,51,4.3 Jupiters,5.12,2000
HD 160691 c,51,4.4 Jupiters,5.12,2004
HD 160691 d,51,10.17 Earths,5.12,2004
HD 160691 e,51,7 Jupiters,5.12,2006
HD 161178 b,350,0.57 Jupiters,5.88375,2021
HD 16141 b,123,0.26 Jupiters,6.834,2000
HD 16175 b,195,5.1 Jupiters,7.297,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,221,0.7836 Jupiters,8,2010
HD 163607 c,221,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.08597,2015
HD 164604 b,128,1.99792 Jupiters,9.62,2009
HD 164922 b,72,0.36497 Jupiters,7.01227,2005
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 168009 b,76,9.53485 Earths,6.295,2021
HD 168443 b,129,7.659 Jupiters,6.92122,1998
HD 168443 c,129,17.193 Jupiters,6.92122,2000
HD 168746 b,136,0.27 Jupiters,7.95,2002
HD 1690 b,2455,8.79 Jupiters,9.19,2010
HD 169830 b,123,2.88 Jupiters,5.9,2000
HD 169830 c,123,4.04 Jupiters,5.9,2003
HD 170469 b,196,0.66 Jupiters,8.21,2007
HD 17092 b,745,10.13 Jupiters,7.732,2007
HD 171028 b,364,2.62 Jupiters,8.292,2007
HD 171238 b,146,8.8 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.17,2007
HD 173416 b,431,2.7 Jupiters,6.04188,2008
HD 174205 b,763,4.2 Jupiters,6.28209,2022
HD 175167 b,232,8.97 Jupiters,8.01,2009
HD 175541 b,423,0.598 Jupiters,8.020001,2007
HD 175607 b,132,8.98 Earths,8.6,2015
HD 17674 b,145,0.87 Jupiters,7.535,2017
HD 164922 c,72,13 Earths,7.01227,2016
HD 164922 d,72,4 Earths,7.01227,2020
HD 164922 e,72,10.52012 Earths,7.01227,2021
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,385,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.33,2012
HD 167042 b,162,1.7 Jupiters,5.98796,2007
HD 168009 b,76,9.53485 Earths,6.295,2021
HD 168443 b,129,7.659 Jupiters,6.92122,1998
HD 168443 c,129,17.193 Jupiters,6.92122,2000
HD 168746 b,136,0.27 Jupiters,7.95,2002
HD 1690 b,2455,8.79 Jupiters,9.19,2010
HD 169830 b,123,2.88 Jupiters,5.9,2000
HD 169830 c,123,4.04 Jupiters,5.9,2003
HD 170469 b,196,0.66 Jupiters,8.21,2007
HD 17092 b,745,10.13 Jupiters,7.732,2007
HD 171028 b,364,2.62 Jupiters,8.292,2007
HD 171238 b,146,8.8 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.17,2007
HD 173416 b,431,2.7 Jupiters,6.04188,2008
HD 174205 b,763,4.2 Jupiters,6.28209,2022
HD 175167 b,232,8.97 Jupiters,8.01,2009
HD 175541 b,423,0.598 Jupiters,8.020001,2007
HD 175607 b,132,8.98 Earths,8.6,2015
HD 17674 b,145,0.87 Jupiters,7.535,2017
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.15,2017
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180314 b,399,20.13 Jupiters,6.61519,2010
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,341,1.685 Jupiters,7.78,2009
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,393,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 181720 b,196,0.4 Jupiters,7.84,2009
HD 183263 b,177,3.95 Jupiters,7.86,2004
HD 183263 c,177,3.57 Jupiters,7.86,2008
HD 183579 b,187,19.7 Earths,8.67,2021
HD 185269 b,170,1.01 Jupiters,6.67973,2006
HD 187085 b,150,0.836 Jupiters,7.22,2006
HD 187123 b,150,0.523 Jupiters,7.83,1998
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.15,2017
HD 177830 b,205,1.69 Jupiters,7.18,1999
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 178911 B b,134,8.03 Jupiters,7.97,2001
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180314 b,399,20.13 Jupiters,6.61519,2010
HD 180617 b,19,12.214 Earths,9.12,2018
HD 180902 b,341,1.685 Jupiters,7.78,2009
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,393,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 181720 b,196,0.4 Jupiters,7.84,2009
HD 183263 b,177,3.95 Jupiters,7.86,2004
HD 183263 c,177,3.57 Jupiters,7.86,2008
HD 183579 b,187,19.7 Earths,8.67,2021
HD 185269 b,170,1.01 Jupiters,6.67973,2006
HD 187085 b,150,0.836 Jupiters,7.22,2006
HD 187123 b,150,0.523 Jupiters,7.83,1998
HD 187123 c,150,1.99 Jupiters,7.83,2008
HD 18742 b,531,3.4 Jupiters,7.81,2011
HD 188015 b,165,1.5 Jupiters,8.24,2004
HD 189567 b,58,8.5 Earths,6.074,2021
HD 189567 c,58,7 Earths,6.074,2021
HD 189733 b,64,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.46,2020
HD 190360 b,52,1.54 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,8.52 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 187123 c,150,1.99 Jupiters,7.83,2008
HD 18742 b,531,3.4 Jupiters,7.81,2011
HD 188015 b,165,1.5 Jupiters,8.24,2004
HD 189567 b,58,8.5 Earths,6.074,2021
HD 189567 c,58,7 Earths,6.074,2021
HD 189733 b,64,1.13 Jupiters,7.67,2005
HD 190007 b,41,16.46 Earths,7.46,2020
HD 190360 b,52,1.54 Jupiters,5.738,2003
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191806 b,214,8.52 Jupiters,8.09,2016
HD 191939 b,175,10.4 Earths,8.97,2020
HD 191939 c,175,7.2 Earths,8.97,2020
HD 191939 d,175,5.8 Earths,8.97,2020
HD 191939 e,175,0.33981 Jupiters,8.97,2022
HD 191939 f,175,6.49722 Jupiters,8.97,2022
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,234,2.096 Jupiters,6.45591,2007
HD 195019 b,123,3.98 Jupiters,6.87591,1998
HD 196050 b,165,3.18 Jupiters,7.5,2002
HD 196067 b,130,12.5 Jupiters,6.51,2012
HD 19615 b,865,8.5 Jupiters,6.55594,2022
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48605,2010
HD 200964 c,237,1.214 Jupiters,6.48605,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,615,1.996 Jupiters,8.23,2019
HD 202696 c,615,1.864 Jupiters,8.23,2019
HD 202772 A b,527,1.017 Jupiters,8.324,2019
HD 203030 b,128,11 Jupiters,8.45,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 204941 b,94,0.23 Jupiters,8.45,2011
HD 205739 b,302,1.37 Jupiters,8.56,2008
HD 206255 b,245,34.2 Earths,7.62,2019
HD 206610 b,480,2.036 Jupiters,8.34,2009
HD 20781 b,117,1.93 Earths,8.48,2019
HD 20781 c,117,5.33 Earths,8.48,2019
HD 20781 d,117,10.61 Earths,8.48,2019
HD 20781 e,117,14.03 Earths,8.48,2019
HD 20782 b,117,1.4878 Jupiters,7.36,2006
HD 196885 A b,111,2.58 Jupiters,6.39677,2007
HD 197037 b,108,0.79 Jupiters,6.82294,2012
HD 19994 b,73,1.37 Jupiters,5.06345,2003
HD 20003 b,136,11.66 Earths,8.39,2019
HD 20003 c,136,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48605,2010
HD 200964 c,237,1.214 Jupiters,6.48605,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,615,1.996 Jupiters,8.23,2019
HD 202696 c,615,1.864 Jupiters,8.23,2019
HD 202772 A b,527,1.017 Jupiters,8.324,2019
HD 203030 b,128,11 Jupiters,8.45,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 204941 b,94,0.23 Jupiters,8.45,2011
HD 205739 b,302,1.37 Jupiters,8.56,2008
HD 206255 b,245,34.2 Earths,7.62,2019
HD 206610 b,480,2.036 Jupiters,8.34,2009
HD 20781 b,117,1.93 Earths,8.48,2019
HD 20781 c,117,5.33 Earths,8.48,2019
HD 20781 d,117,10.61 Earths,8.48,2019
HD 20781 e,117,14.03 Earths,8.48,2019
HD 20782 b,117,1.4878 Jupiters,7.36,2006
HD 207832 b,192,0.56 Jupiters,8.78,2012
HD 207832 c,192,0.73 Jupiters,8.78,2012
HD 207897 b,92,14.4 Earths,8.37,2021
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 20794 d,20,4.8 Earths,4.26,2011
HD 20794 e,20,4.77 Earths,4.26,2017
HD 208487 b,147,0.52 Jupiters,7.47,2004
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,220,1.4 Jupiters,6.50821,2017
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210193 b,138,0.4817 Jupiters,7.83,2019
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211403 b,271,5.54 Jupiters,8.48,2021
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,43,13 Earths,10.24,2019
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 213472 b,210,3.5 Jupiters,8.17,2021
HD 213885 b,157,8.83 Earths,7.95,2019
HD 213885 c,157,19.95 Earths,7.95,2019
HD 21411 b,95,0.20734 Jupiters,7.88,2019
HD 207832 b,192,0.56 Jupiters,8.78,2012
HD 207832 c,192,0.73 Jupiters,8.78,2012
HD 207897 b,92,14.4 Earths,8.37,2021
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 20794 d,20,4.8 Earths,4.26,2011
HD 20794 e,20,4.77 Earths,4.26,2017
HD 208487 b,147,0.52 Jupiters,7.47,2004
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,220,1.4 Jupiters,6.50821,2017
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210193 b,138,0.4817 Jupiters,7.83,2019
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211403 b,271,5.54 Jupiters,8.48,2021
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,43,13 Earths,10.24,2019
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 213472 b,210,3.5 Jupiters,8.17,2021
HD 213885 b,157,8.83 Earths,7.95,2019
HD 213885 c,157,19.95 Earths,7.95,2019
HD 21411 b,95,0.20734 Jupiters,7.88,2019
HD 214823 b,331,20.3 Jupiters,8.06,2016
HD 215152 b,70,1.819 Earths,8.11,2018
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 215497 c,132,0.33 Jupiters,8.96,2009
HD 216435 b,108,1.26 Jupiters,6.03,2002
HD 216437 b,87,2.223 Jupiters,6.04,2002
HD 216520 b,64,10.26 Earths,7.53,2020
HD 216520 c,64,9.44 Earths,7.53,2020
HD 216536 b,1227,1.05 Jupiters,9.229,2015
HD 216770 b,120,0.57 Jupiters,8.11,2003
HD 21693 b,108,8.23 Earths,7.95,2019
HD 21693 c,108,17.37 Earths,7.95,2019
HD 217107 b,65,1.3 Jupiters,6.155,1998
HD 217107 c,65,2.6 Jupiters,6.155,2005
HD 21749 c,53,3.7 Earths,8.08,2019
HD 217786 b,181,13 Jupiters,7.78,2011
HD 217850 b,215,21.6 Jupiters,8.520001,2018
HD 218566 b,94,0.2 Jupiters,8.6,2010
HD 219077 b,95,10.39 Jupiters,6.12,2012
HD 219134 b,21,4.74 Earths,5.56911,2015
HD 219134 c,21,4.36 Earths,5.56911,2015
HD 219134 d,21,16.17 Earths,5.56911,2015
HD 219134 f,21,7.3 Earths,5.56911,2015
HD 219134 g,21,10.80622 Earths,5.56911,2015
HD 219134 h,21,0.34 Jupiters,5.56911,2015
HD 219139 b,342,0.78 Jupiters,5.84863,2021
HD 219415 b,539,1 Jupiter,8.909,2012
HD 219666 b,307,16.6 Earths,9.809,2018
HD 219828 b,238,20.97678 Earths,8.04,2007
HD 219828 c,238,14.6 Jupiters,8.04,2016
HD 220074 b,1059,16.64 Jupiters,6.40607,2012
HD 220197 b,210,0.2 Jupiters,8.92,2018
HD 220689 b,153,1.118 Jupiters,7.74,2012
HD 220773 b,165,1.45 Jupiters,7.10831,2011
HD 220842 b,211,3.18 Jupiters,7.98,2016
HD 221287 b,182,3.09 Jupiters,7.82,2007
HD 221416 b,312,0.19 Jupiters,8.15,2019
HD 221420 b,102,22.9 Jupiters,5.82,2019
HD 221585 b,182,1.61 Jupiters,7.457,2016
HD 222076 b,297,1.56 Jupiters,7.47,2016
HD 222155 b,165,2.12 Jupiters,7.11716,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 22496 b,44,5.57 Earths,8.57,2021
HD 22532 b,526,2.12 Jupiters,7.85,2022
HD 22781 b,106,13.65 Jupiters,8.78,2011
HD 219134 f,21,7.3 Earths,5.56911,2015
HD 219134 g,21,10.80622 Earths,5.56911,2015
HD 219134 h,21,0.34 Jupiters,5.56911,2015
HD 219139 b,342,0.78 Jupiters,5.84863,2021
HD 219415 b,539,1 Jupiter,8.909,2012
HD 219666 b,307,16.6 Earths,9.809,2018
HD 219828 b,238,20.97678 Earths,8.04,2007
HD 219828 c,238,14.6 Jupiters,8.04,2016
HD 220074 b,1059,16.64 Jupiters,6.40607,2012
HD 220197 b,210,0.2 Jupiters,8.92,2018
HD 220689 b,153,1.118 Jupiters,7.74,2012
HD 220773 b,165,1.45 Jupiters,7.10831,2011
HD 220842 b,211,3.18 Jupiters,7.98,2016
HD 221287 b,182,3.09 Jupiters,7.82,2007
HD 221416 b,312,0.19 Jupiters,8.15,2019
HD 221420 b,102,22.9 Jupiters,5.82,2019
HD 221585 b,182,1.61 Jupiters,7.457,2016
HD 222076 b,297,1.56 Jupiters,7.47,2016
HD 222155 b,165,2.12 Jupiters,7.11716,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 22496 b,44,5.57 Earths,8.57,2021
HD 22532 b,526,2.12 Jupiters,7.85,2022
HD 22781 b,106,13.65 Jupiters,8.78,2011
HD 219134 f,21,7.3 Earths,5.56911,2015
HD 219134 g,21,10.80622 Earths,5.56911,2015
HD 219134 h,21,0.34 Jupiters,5.56911,2015
HD 219139 b,342,0.78 Jupiters,5.84863,2021
HD 219415 b,539,1 Jupiter,8.909,2012
HD 219666 b,307,16.6 Earths,9.809,2018
HD 219828 b,238,20.97678 Earths,8.04,2007
HD 219828 c,238,14.6 Jupiters,8.04,2016
HD 220074 b,1059,16.64 Jupiters,6.40607,2012
HD 220197 b,210,0.2 Jupiters,8.92,2018
HD 220689 b,153,1.118 Jupiters,7.74,2012
HD 220773 b,165,1.45 Jupiters,7.10831,2011
HD 220842 b,211,3.18 Jupiters,7.98,2016
HD 221287 b,182,3.09 Jupiters,7.82,2007
HD 221416 b,312,0.19 Jupiters,8.15,2019
HD 221420 b,102,22.9 Jupiters,5.82,2019
HD 221585 b,182,1.61 Jupiters,7.457,2016
HD 222076 b,297,1.56 Jupiters,7.47,2016
HD 222155 b,165,2.12 Jupiters,7.11716,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,305,0.7 Jupiters,8.23,2006
HD 22496 b,44,5.57 Earths,8.57,2021
HD 22532 b,526,2.12 Jupiters,7.85,2022
HD 22781 b,106,13.65 Jupiters,8.78,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,306,1.527 Jupiters,8.58,2006
HD 231701 b,355,1.13 Jupiters,8.97,2007
HD 233604 b,2763,6.575 Jupiters,10.291,2013
HD 233832 b,192,1.78 Jupiters,10.15,2018
HD 23472 b,127,17.92 Earths,9.73,2019
HD 23472 c,127,17.18 Earths,9.73,2019
HD 23596 b,170,9.03 Jupiters,7.26122,2003
HD 238090 b,50,6.89 Earths,9.71,2020
HD 238914 b,1694,6 Jupiters,8.770001,2018
HD 240210 b,1215,5.21 Jupiters,8.270001,2009
HD 240237 b,3045,15.89 Jupiters,8.19,2011
HD 24040 b,152,3.86 Jupiters,7.515,2006
HD 24040 c,152,0.201 Jupiters,7.515,2021
HD 24064 b,979,12.89 Jupiters,6.74616,2015
HD 24085 b,179,11.8 Earths,7.57,2019
HD 25015 b,122,4.48 Jupiters,8.87,2019
HD 25171 b,181,0.915 Jupiters,7.77,2010
HD 25723 b,375,2.5 Jupiters,5.60075,2020
HD 260655 b,33,2.14 Earths,9.63,2022
HD 260655 c,33,3.09 Earths,9.63,2022
HD 26161 b,133,13.5 Jupiters,6.89333,2021
HD 2638 b,179,0.42 Jupiters,9.44,2005
HD 2685 b,642,1.17 Jupiters,9.595,2019
HD 26965 b,16,8.47 Earths,4.42018,2018
HD 27442 b,60,1.56 Jupiters,4.44,2000
HD 27631 b,164,1.494 Jupiters,8.26,2012
HD 27894 b,143,0.665 Jupiters,9.36,2005
HD 27894 c,143,0.162 Jupiters,9.36,2017
HD 27894 d,143,5.415 Jupiters,9.36,2017
HD 27969 b,222,4.8 Jupiters,7.66,2021
HD 28109 b,455,18.496 Earths,9.42,2022
HD 28109 c,455,7.943 Earths,9.42,2022
HD 28109 d,455,5.681 Earths,9.42,2022
HD 28185 b,128,5.9 Jupiters,7.8,2001
HD 28254 b,180,1.16 Jupiters,7.69,2010
HD 285507 b,147,0.98 Jupiters,10.49,2013
HD 285968 b,31,8.4 Earths,9.95,2008
HD 28678 b,619,1.542 Jupiters,8.38,2011
HD 29021 b,101,4.47 Jupiters,7.76,2017
HD 290327 b,184,2.43 Jupiters,8.99,2009
HD 29399 b,144,1.57 Jupiters,5.79,2022
HD 2952 b,359,1.37 Jupiters,5.9258,2013
HD 30177 b,181,8.622 Jupiters,8.41,2002
HD 30177 c,181,7.6 Jupiters,8.41,2016
HD 30562 b,85,1.22 Jupiters,5.77466,2009
HD 30669 b,189,0.47 Jupiters,9.12,2014
HD 30856 b,428,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.13266,2010
HD 31527 b,125,10.47 Earths,7.49,2019
HD 31527 c,125,14.16 Earths,7.49,2019
HD 31527 d,125,11.82 Earths,7.49,2019
HD 3167 b,154,5.02 Earths,8.97,2016
HD 3167 c,154,9.8 Earths,8.97,2016
HD 3167 d,154,6.9 Earths,8.97,2017
HD 32518 b,398,3.04 Jupiters,6.43005,2009
HD 32963 b,124,0.7 Jupiters,7.6,2015
HD 330075 b,148,0.48 Jupiters,9.36,2004
HD 331093 b,164,1.5 Jupiters,8.38,2021
HD 33142 b,396,1.26 Jupiters,7.96,2011
HD 33142 c,396,0.89 Jupiters,7.96,2018
HD 33142 d,396,0.2 Jupiters,7.96,2022
HD 332231 b,263,0.244 Jupiters,8.558,2020
HD 33283 b,293,0.329 Jupiters,8.05,2006
HD 33564 b,68,9.1 Jupiters,5.10111,2005
HD 33844 b,345,2.01 Jupiters,7.29,2015
HD 33844 c,345,1.75 Jupiters,7.29,2015
HD 34445 b,150,0.82 Jupiters,7.31,2009
HD 34445 c,150,0.168 Jupiters,7.31,2017
HD 34445 d,150,30.7 Earths,7.31,2017
HD 34445 e,150,16.8 Earths,7.31,2017
HD 34445 f,150,37.9 Earths,7.31,2017
HD 34445 g,150,0.38 Jupiters,7.31,2017
HD 35759 b,232,3.76 Jupiters,7.74,2016
HD 360 b,364,0.75 Jupiters,5.986,2021
HD 3651 b,36,0.228 Jupiters,5.88437,2003
HD 37124 b,103,0.675 Jupiters,7.68,2002
HD 37124 c,103,0.652 Jupiters,7.68,2002
HD 37124 d,103,0.696 Jupiters,7.68,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 3765 b,58,0.173 Jupiters,7.36,2021
HD 38283 b,124,0.4 Jupiters,6.69,2010
HD 38529 b,138,0.797 Jupiters,5.92848,2000
HD 38529 c,138,12.99 Jupiters,5.92848,2000
HD 38801 b,298,9.698 Jupiters,8.26,2009
HD 39091 b,60,12.9 Jupiters,5.65,2001
HD 39194 b,86,4 Earths,8.09,2021
HD 39194 c,86,6.3 Earths,8.09,2021
HD 39194 d,86,4 Earths,8.09,2021
HD 39855 b,76,8.5 Earths,7.51,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,380,2.7 Jupiters,6.42794,2017
HD 40979 b,111,4.67 Jupiters,6.75512,2002
HD 41004 A b,120,2.54 Jupiters,8.65,2004
HD 41004 B b,136,18.37 Jupiters,8.6078,2003
HD 3651 b,36,0.228 Jupiters,5.88437,2003
HD 37124 b,103,0.675 Jupiters,7.68,2002
HD 37124 c,103,0.652 Jupiters,7.68,2002
HD 37124 d,103,0.696 Jupiters,7.68,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 3765 b,58,0.173 Jupiters,7.36,2021
HD 38283 b,124,0.4 Jupiters,6.69,2010
HD 38529 b,138,0.797 Jupiters,5.92848,2000
HD 38529 c,138,12.99 Jupiters,5.92848,2000
HD 38801 b,298,9.698 Jupiters,8.26,2009
HD 39091 b,60,12.9 Jupiters,5.65,2001
HD 39194 b,86,4 Earths,8.09,2021
HD 39194 c,86,6.3 Earths,8.09,2021
HD 39194 d,86,4 Earths,8.09,2021
HD 39855 b,76,8.5 Earths,7.51,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,380,2.7 Jupiters,6.42794,2017
HD 40979 b,111,4.67 Jupiters,6.75512,2002
HD 41004 A b,120,2.54 Jupiters,8.65,2004
HD 41004 B b,136,18.37 Jupiters,8.6078,2003
HD 3651 b,36,0.228 Jupiters,5.88437,2003
HD 37124 b,103,0.675 Jupiters,7.68,2002
HD 37124 c,103,0.652 Jupiters,7.68,2002
HD 37124 d,103,0.696 Jupiters,7.68,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 3765 b,58,0.173 Jupiters,7.36,2021
HD 38283 b,124,0.4 Jupiters,6.69,2010
HD 38529 b,138,0.797 Jupiters,5.92848,2000
HD 38529 c,138,12.99 Jupiters,5.92848,2000
HD 38801 b,298,9.698 Jupiters,8.26,2009
HD 39091 b,60,12.9 Jupiters,5.65,2001
HD 39194 b,86,4 Earths,8.09,2021
HD 39194 c,86,6.3 Earths,8.09,2021
HD 39194 d,86,4 Earths,8.09,2021
HD 39855 b,76,8.5 Earths,7.51,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,380,2.7 Jupiters,6.42794,2017
HD 40979 b,111,4.67 Jupiters,6.75512,2002
HD 41004 A b,120,2.54 Jupiters,8.65,2004
HD 41004 B b,136,18.37 Jupiters,8.6078,2003
HD 4113 b,137,1.56 Jupiters,7.88,2007
HD 42012 b,120,1.6 Jupiters,8.44,2017
HD 4203 b,265,2.23 Jupiters,8.7,2001
HD 4203 c,265,2.17 Jupiters,8.7,2014
HD 4208 b,112,0.81 Jupiters,7.783,2001
HD 42618 b,79,14.4 Earths,6.87,2016
HD 4308 b,72,15.8915 Earths,6.55,2005
HD 4313 b,445,1.927 Jupiters,7.83,2009
HD 43197 b,204,0.6 Jupiters,8.98,2010
HD 43691 b,279,2.55 Jupiters,8.03,2007
